,Path,Filename,TimeInFile,PrecedingIntrvl,CallsPerSec,CallDuration,Fc,HiFreq,LowFreq,Bndwdth,FreqMaxPwr,PrcntMaxAmpDur,TimeFromMaxToFc,FreqKnee,PrcntKneeDur,StartF,EndF,DominantSlope,SlopeAtFc,StartSlope,EndSlope,SteepestSlope,LowestSlope,TotalSlope,HiFtoKnSlope,KneeToFcSlope,CummNmlzdSlp,HiFtoFcExpAmp,HiFtoFcDmp,KnToFcExpAmp,KnToFcDmp,HiFtoKnExpAmp,HiFtoKnDmp,FreqLedge,LedgeDuration,LdgToFcSlp,KnToFcDur,UpprKnFreq,HiFtoUpprKnSlp,HiFtoUpprKnAmp,HiFtoUpprKnExp,HiFtoKnAmp,HiFtoKnExp,HiFtoFcAmp,HiFtoFcExp,UpprKnToKnAmp,UpprKnToKnExp,KnToFcAmp,KnToFcExp,LdgToFcAmp,LdgToFcExp,FreqCtr,FBak32dB,FFwd32dB,FBak20dB,FFwd20dB,FBak15dB  ,FFwd15dB,FBak5dB,FFwd5dB,Bndw32dB,Bndw20dB,Bndw15dB,Bndw5dB,DurOf32dB,DurOf20dB,DurOf15dB,DurOf5dB,Amp1stQrtl,Amp2ndQrtl,Amp3rdQrtl,Amp4thQrtl,Amp1stMean,Amp2ndMean,Amp3rdMean,Amp4thMean,LnExpA_StartAmp,LnExpB_StartAmp,AmpStartLn60ExpC,LnExpA_EndAmp,LnExpB_EndAmp,AmpEndLn60ExpC,AmpK@start,AmpK@end,AmpKurtosis,AmpSkew,AmpVariance,AmpMoment,AmpGausR2,PreFc250,PreFc500,PreFc1000,PreFc250Residue,PreFc500Residue,PreFc1000Residue,PreFc3000,PreFc3000Residue,KneeToFcResidue,Kn-FcCurviness,meanKn-FcCurviness,Kn-FcCurvinessTrndSlp,Quality,HiFminusStartF,FcMinusEndF,RelPwr2ndTo1st,RelPwr3rdTo1st,ParentDir,NextDirUp,Version,Filter,Preemphasis,MinAccpQuality,MaxSegLngth,Max#CallsConsidered
0,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,515,48,9.990783,5.800177,30.721317,46.543086,24.877343,21.665743,37.085534,41.304802,1.887562,46.017248,12.933827,46.543086,24.877343,5.240442,1.069545,-0.430824,-1.834016,8.32871,0.096253,4.702201,0.548744,5.081006,4.166369,3.809064,0.378973,2.163016,0.59736,0.24355,1.130808,30.555019,0.459791,0.807714,3.533128,46.017248,0.548744,47.366457,-0.011824,47.366457,-0.011824,58.81509,-0.11992,0.0,0.0,63.292122,-0.137627,26.556017,0.026336,34.422465,25.801953,47.07113,27.022315,45.850767,27.719665,43.933054,36.087866,37.831241,21.269177,18.828452,16.213389,1.743375,0.318497,4.462598,3.684912,0.338793,71.672215,12024.298905,12468.325414,11726.877718,0.70887,0.859484,0.885773,0.893049,-0.122029,0.008972,4.094345,-0.079535,-0.951409,4.094345,0.522174,4.003518,3.14771,-0.715017,0.009641,0.0096,0.714967,0.411948,0.634066,-2.034677,0.00089,0.003442,0.131272,-4.933533,0.595328,0.554601,0.029407,0.000204,0.001672,0.86204,0.0,5.843974,0.268145,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
1,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,469,45,9.990783,5.93451,31.952577,56.529694,30.871884,25.65781,38.313807,45.813232,3.043855,41.717726,34.055854,56.529694,30.871884,4.544984,0.999816,-2.104868,-5.384712,10.588624,0.000366,4.730895,7.924472,2.705992,4.720743,1.49083,0.517811,0.599168,0.766434,4.249539,0.702541,31.637333,0.368281,1.270621,3.741597,53.166997,4.165479,66.945348,-0.075176,82.233447,-0.155752,73.282346,-0.122384,68.356885,-0.118364,56.169406,-0.078786,23.409106,0.039838,37.189787,30.533063,56.005398,31.545209,50.438596,31.882591,47.57085,34.750337,40.48583,25.472335,18.893387,15.688259,5.735493,5.693417,4.825778,3.609015,1.443606,76.118259,10564.739993,9810.853492,13986.571612,0.782236,0.931809,0.914439,0.932972,-0.063892,-0.037248,4.094345,-0.007364,-0.72943,4.094345,0.675606,7.526622,6.687596,-1.505943,0.006633,0.006606,0.659415,0.918571,1.049443,-0.136232,0.001007,0.002048,0.032908,-2.175096,0.292377,0.615446,0.147733,0.000966,-0.000723,0.847127,0.0,1.080693,0.550883,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
2,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,865,159,9.990783,5.33559,31.774967,57.626177,30.870894,26.755283,34.316481,70.198725,1.464081,39.200112,44.38371,57.342588,30.870894,4.34365,1.623519,-1.24599,-4.660829,16.314799,0.165389,5.522359,11.261107,2.783503,5.977749,1.049999,0.70593,0.57525,0.940544,3.504531,0.954066,31.22743,0.352509,2.139312,2.841465,43.869832,11.837805,118.636227,-0.223763,122.92128,-0.234304,86.718864,-0.145983,74.611191,-0.127073,58.030022,-0.081993,18.842236,0.06753,38.218562,30.731523,58.823529,31.485671,57.880845,31.862745,50.904977,33.182504,42.043741,28.092006,26.395173,19.042232,8.861237,0.025199,0.599324,3.431376,2.198981,70.822049,8745.609781,7434.194204,12147.451803,0.645035,0.877421,0.899276,0.915355,-0.039912,-0.304586,4.094345,-0.020733,-0.604698,4.094345,4.624177,2.91412,2.766401,-0.910622,0.016227,0.016153,0.645213,1.505966,0.929947,-1.429034,0.001597,0.025738,0.095676,-2.902273,0.347766,0.309295,0.104749,0.000911,0.000661,0.830255,0.283589,0.904073,0.656476,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
3,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,3995,374,9.990783,6.510984,32.332951,56.705444,30.58092,26.124524,38.905409,53.293774,2.123337,33.353571,76.979896,56.705444,30.58092,4.398744,1.57033,-0.191845,-0.879799,17.377683,0.038186,5.381194,5.685353,1.736781,4.659994,5.362909,0.306406,0.189032,3.126921,6.300505,0.298372,33.353571,0.581138,1.736781,0.581138,54.40017,3.247366,61.249529,-0.057815,70.632343,-0.122568,70.296811,-0.120731,48.45364,-0.060061,46.235257,-0.052936,46.235257,-0.052936,39.761971,24.691358,57.098765,30.709877,54.475309,31.944444,51.234568,37.962963,41.975309,32.407407,23.765432,19.290123,4.012346,0.024803,5.590363,3.719377,0.915681,62.479491,6677.349694,10151.12826,12675.48989,0.58706,0.812695,0.934354,0.923877,-0.068926,-0.040417,4.094345,-0.006015,-1.31399,4.094345,1.092235,5.707738,2.284631,-0.738455,0.024892,0.024799,0.835824,-1.489252,-1.676643,-2.28227,3.039672e-05,0.000154,0.010113,-2.28227,0.010113,0.000354,0.025781,0.001172,-0.00602,0.857169,0.0,1.752031,0.598212,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
4,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,107,25,9.990783,4.034267,19.629609,43.86246,19.424983,24.437478,41.959867,16.908205,3.230535,41.428261,21.135256,43.86246,19.424983,2.271163,2.255931,-4.851547,-2.233276,9.498671,1.756533,6.725727,2.50791,7.336782,6.934294,6.212223,0.387046,4.140767,0.579032,0.392987,2.211489,20.372287,0.194576,3.981634,3.060004,41.428261,2.50791,51.224414,-0.059061,51.224414,-0.059061,81.482553,-0.198489,0.0,0.0,101.447317,-0.240976,73.604173,-0.199541,32.649114,21.335341,68.524096,23.092369,43.172691,24.34739,42.419679,31.626506,39.407631,47.188755,20.080321,18.072289,7.781124,0.437797,3.231403,2.817494,0.950099,112.089678,13958.554979,8670.593945,6090.471167,0.907311,0.959109,0.890353,0.758099,0.031584,-0.397651,4.094345,0.078944,-2.7114,4.094345,3.804806,33.586761,3.60411,-1.242109,0.013279,0.013199,0.701764,-4.657945,-7.161135,-7.308872,0.003262,0.022258,0.031426,-7.337158,0.087332,0.085957,-0.004169,-3.3894e-05,0.002262,0.854222,0.0,0.204626,0.586246,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
5,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,260,59,9.990783,4.372827,31.51351,51.592118,29.960366,21.631752,44.601063,33.220563,2.313544,34.236166,71.145943,51.592118,30.039759,5.989169,4.320431,-4.46905,0.361691,9.144881,3.276417,5.792395,6.075259,4.34084,5.618657,3.991205,0.466068,0.725162,2.254932,4.15026,0.50133,32.224256,0.169849,4.122897,0.655133,49.276715,3.874956,66.375555,-0.076773,84.102492,-0.139142,84.156605,-0.139297,74.783678,-0.121925,79.682415,-0.131242,78.401422,-0.12913,39.001048,30.38674,52.255985,31.767956,50.644567,32.458564,49.953959,43.047882,45.810313,21.869245,18.876611,17.495396,2.762431,0.339699,3.475528,3.111988,0.435803,124.958003,16279.224915,11272.74346,8825.75637,0.884182,0.917316,0.920553,0.850874,-0.069594,-0.147925,4.094345,0.004579,-0.656919,4.094345,1.812195,6.251437,7.871146,-1.580722,0.004548,0.004522,0.29983,-4.235851,-4.724925,-4.398474,7.301985e-05,0.001814,0.005638,-4.398474,0.005638,0.006418,-0.017643,-0.000706,0.005044,0.840667,0.0,1.473752,0.024581,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
6,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,87,27,9.990783,3.069898,25.75526,35.095878,25.403472,9.692406,32.876388,26.194679,2.168715,30.709129,47.847097,35.095878,26.364412,3.246846,5.230396,-1.288509,5.972451,6.410731,1.657172,3.484249,3.112462,4.062301,3.476172,2.1816,0.52662,1.107376,1.067174,1.082035,1.051867,25.59191,0.242582,0.146959,1.504008,33.252238,2.703181,67.109328,-0.078554,76.424212,-0.093843,90.856021,-0.113249,84.677609,-0.104826,126.026624,-0.144745,23.912892,0.005781,30.488991,24.606299,50.19685,26.574803,38.713911,27.559055,35.433071,29.199475,32.808399,25.590551,12.139108,7.874016,3.608924,0.024258,0.557939,0.776262,1.174129,106.629202,10706.011265,8853.582409,6117.852758,0.945411,0.978364,0.901822,0.79421,0.036169,-0.420662,4.094345,0.021508,-0.605839,4.094345,5.047189,14.367261,2.163605,-0.707897,0.006814,0.006761,0.901631,0.146959,-2.824685,-4.44774,0.005899,0.034281,0.06375,-4.17958,0.056842,0.058692,0.178313,0.002972,0.013367,0.820742,0.0,-0.609152,0.776825,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
7,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,151,17,9.990783,4.596553,26.753129,46.123503,26.697202,19.426302,45.084235,21.62239,3.529695,43.673994,28.478269,46.040647,26.697202,4.626657,1.086798,-0.152583,-0.847731,7.213365,0.807265,5.218036,2.145894,5.322478,5.146232,4.130899,0.40875,2.429706,0.631629,1.139318,0.876295,27.248149,0.243243,2.113297,3.214561,43.673994,2.145894,50.701958,-0.047068,50.701958,-0.047068,63.409871,-0.139847,0.0,0.0,68.297347,-0.156288,43.045561,-0.078369,37.313615,27.557319,47.839506,28.880071,46.737213,29.761905,46.516755,36.375661,41.005291,20.282187,17.857143,16.75485,4.62963,0.389189,0.608107,0.802702,0.759055,106.173067,8718.169138,8752.354269,8678.433554,0.865801,0.926807,0.862006,0.873322,-0.064976,-0.127238,4.094345,0.091777,-2.540514,4.094345,2.061298,24.411209,7.580067,-1.797162,0.007863,0.007821,0.164778,-2.113297,-4.3233,-4.619724,0.00036,0.026921,0.022463,-5.211746,0.183116,0.221954,0.089632,0.000695,0.000981,0.889472,0.082856,0.055927,0.032547,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
8,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,202,48,9.990783,5.392699,27.689027,51.570816,21.575511,29.995305,49.829046,8.532417,4.231612,33.002305,62.349733,51.570816,21.575511,5.520999,1.973859,-3.94812,-9.415381,8.107594,3.188381,5.503465,6.018172,4.526757,5.376757,4.010171,0.409979,1.074605,1.305372,4.19158,0.48094,28.016636,0.24171,1.043849,1.329406,49.169822,3.823788,69.116936,-0.075766,91.69871,-0.140607,92.015098,-0.141289,123.591941,-0.179235,98.162927,-0.149637,38.183186,-0.037539,35.81418,22.982063,76.793722,27.84006,50.635277,29.147982,50.074738,35.313901,41.292975,53.811659,22.795217,20.926756,5.979073,0.145026,4.256199,3.845014,0.941765,103.628988,8927.646497,6087.541487,6221.367833,0.913962,0.928012,0.854581,0.794698,-0.026681,-0.243806,4.094345,0.055607,-4.875268,4.094345,2.306264,53.32374,7.36344,-1.370853,0.007034,0.007003,0.455194,-1.043849,-3.793321,-4.441738,0.001155,0.031606,0.030361,-4.4534,0.027368,0.028096,0.047793,0.000902,0.006749,0.772337,0.0,6.113516,0.668373,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
9,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,42,28,9.990783,4.034011,27.744092,44.043337,27.492856,16.550481,43.37211,25.911463,2.914767,43.061087,30.129608,44.043337,28.173891,0.332192,2.317534,-1.42775,3.670761,10.35394,0.203924,4.789307,0.558313,6.291001,4.95622,6.372523,0.280162,3.11504,0.634854,0.27409,1.012297,29.002216,0.443837,3.618484,2.744607,43.061087,0.558313,45.215346,-0.012815,45.215346,-0.012815,62.962945,-0.122329,0.0,0.0,82.753629,-0.177925,61.031593,-0.129732,39.562956,27.777778,45.20202,30.808081,44.191919,32.070707,43.686869,38.383838,42.171717,17.424242,13.383838,11.616162,3.787879,0.295891,0.71507,2.903949,0.680642,105.134384,10964.274673,12713.574928,10866.862586,0.864482,0.930096,0.91764,0.863755,-0.059254,-0.118987,4.094345,0.073942,-1.720938,4.094345,2.654312,19.71508,5.306758,-1.266994,0.007222,0.007178,0.248317,-1.490361,-4.029381,-6.499389,0.008244,0.030147,0.153839,-6.158294,0.326886,0.27775,0.154492,0.001417,0.006201,0.858193,0.0,-0.429799,0.439651,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
10,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,0,0,9.990783,2.618883,27.859323,43.233713,22.849179,20.384534,34.255432,45.786364,0.869901,29.530524,67.277923,43.233713,22.849179,9.052811,5.543739,-3.170316,-12.453643,11.700906,4.190362,8.09422,8.237568,5.170359,7.886107,3.186995,0.83809,0.411571,5.114042,3.117714,0.930015,29.530524,0.307062,5.170359,0.307062,36.575785,7.795822,44.630787,-0.190002,45.245729,-0.222348,45.346358,-0.226034,49.508066,-0.271877,41.063554,-0.180049,41.063554,-0.180049,33.304661,23.753894,46.339564,26.869159,43.613707,27.647975,42.445483,31.542056,36.993769,22.58567,16.744548,14.797508,5.451713,0.074985,0.399921,1.922688,0.709666,97.522523,8630.412414,9655.668996,12660.60754,0.894533,0.907074,0.851526,0.872451,-0.073187,-0.234549,4.094345,-0.067752,-0.212629,4.094345,4.506257,2.6646,2.133582,-0.39241,0.006206,0.006148,0.127758,-4.930645,-5.924216,-5.924216,0.001905,0.007209,0.007209,-5.924216,0.007209,0.002278,0.023443,0.002344,-0.041499,0.799069,0.0,5.010144,0.732747,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
11,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,133,16,9.990783,5.198918,23.856557,51.752998,23.703533,28.049465,44.745519,23.324795,3.840931,38.227543,41.05164,51.752998,23.703533,6.112682,2.35528,-5.036166,-1.100654,7.990507,3.704169,5.612438,6.519315,4.67077,5.606754,4.560965,0.380177,3.02222,0.546576,3.282377,0.716297,24.625941,0.218025,3.727405,2.919327,49.094108,5.150153,59.720014,-0.101919,64.230601,-0.142743,65.610049,-0.15262,61.032888,-0.136644,64.803418,-0.150644,64.249565,-0.154087,34.983373,24.806202,76.937984,27.131783,50.968992,28.488372,50.387597,30.426357,40.697674,52.131783,23.837209,21.899225,10.271318,0.411826,4.22975,3.866236,1.999246,86.729503,10337.501394,9751.453286,6586.029611,0.885735,0.916658,0.934122,0.852323,-0.042641,-0.15624,4.094345,-0.005182,-1.126872,4.094345,1.82247,10.928241,6.334738,-1.335114,0.004402,0.004381,0.358831,-3.932031,-5.368595,-5.341515,0.00137,0.007928,0.007679,-4.717148,0.089068,0.075607,0.104936,0.000889,0.000235,0.839332,0.0,0.153024,0.372302,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
12,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,119,12,9.990783,2.918621,32.074659,41.753968,31.879012,9.874956,37.169511,67.273515,0.776997,40.501588,49.832234,41.21287,31.885502,7.807372,2.261676,-0.034451,-0.197438,10.040234,0.403633,5.434656,1.532787,7.210929,4.095715,3.595709,0.57504,1.70389,1.35668,0.55056,1.313517,33.040963,0.254522,3.869844,1.286042,40.501588,1.532787,47.355231,-0.036972,47.355231,-0.036972,69.288952,-0.140004,0.0,0.0,91.396091,-0.198956,60.318243,-0.118837,40.501588,30.30303,43.732782,33.057851,42.699725,33.746556,42.355372,37.190083,40.977961,13.429752,9.641873,8.608815,3.787879,0.025452,0.45814,0.559949,0.630246,108.779051,10232.024279,12030.745925,10585.543676,0.897016,0.949073,0.950526,0.93873,-0.022083,-0.183049,4.094345,-0.026636,-0.150548,4.094345,5.430986,2.041262,8.935989,-2.084597,0.002443,0.002423,0.405772,-3.869844,-6.260895,-7.304105,0.000152,0.049309,0.039988,-7.120783,0.039334,0.034171,0.025724,0.000504,0.012656,0.859504,0.541099,0.189157,0.620749,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
13,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,307,26,9.990783,2.631922,29.097876,44.120317,28.977523,15.142794,41.424592,23.105152,1.896536,40.305051,32.347213,44.120317,28.977523,6.157767,2.809236,-4.640835,-1.002408,10.063383,3.006223,6.580515,4.054168,6.861999,7.103738,3.602688,0.623049,1.610234,1.237364,0.703181,2.081246,29.677966,0.178187,3.33895,1.653292,40.305051,4.054168,57.15462,-0.096369,57.15462,-0.096369,73.991641,-0.177886,0.0,0.0,83.18424,-0.20464,52.787111,-0.113572,35.954533,27.647975,44.781931,29.595016,43.613707,29.984424,42.834891,31.931464,41.277259,17.133956,14.018692,12.850467,9.345794,0.025455,2.253486,2.031174,1.264868,105.687275,13807.078211,11579.312643,14394.258516,0.864479,0.916853,0.951375,0.943149,-0.068878,0.013187,4.094345,0.08712,-2.266162,4.094345,1.166103,25.600017,8.671357,-2.232099,0.007664,0.007593,0.329584,-4.072888,-5.004865,-5.46099,0.001982,0.013675,0.016138,-6.677881,0.280451,0.223467,0.128843,0.002013,0.007865,0.824354,0.0,0.120353,0.532411,0.024477,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
14,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,424,47,9.990783,3.331835,33.216664,50.682425,33.060068,17.622357,33.304545,92.547495,0.04818,47.511448,28.198065,50.682425,33.127159,2.806497,1.935188,-2.196522,-0.060824,9.223224,2.662203,6.325817,3.051882,6.670872,6.626351,4.085619,0.516305,2.173329,0.896249,0.900878,1.43941,34.469765,0.385441,3.295855,2.192197,47.511448,3.051882,62.054482,-0.06182,62.054482,-0.06182,85.631322,-0.147664,0.0,0.0,96.294841,-0.169816,61.809167,-0.097781,41.404487,32.306763,51.630435,33.21256,50.422705,33.816425,50.120773,37.137681,48.913043,19.323671,17.210145,16.304348,11.775362,0.032024,3.05944,2.698088,1.782666,104.751571,14312.931326,11267.249079,19351.952081,0.823627,0.820701,0.825783,0.973648,0.007634,-0.726985,4.094345,-0.077376,-0.189675,4.094345,64.708457,2.14034,4.958209,-1.379598,0.011944,0.011857,0.166557,-2.537011,-4.045628,-6.207623,0.000312,0.013214,0.075987,-6.512604,0.267882,0.165516,0.111833,0.001257,0.003488,0.806594,0.0,0.089506,0.625684,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
15,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,1043,43,9.990783,4.228493,31.274352,51.754438,23.581761,28.172677,34.210504,39.914049,0.554551,37.951698,27.369633,51.754438,23.848902,10.731428,4.831283,-14.092032,1.42097,14.477564,4.612341,9.109445,12.020016,6.172261,6.151002,2.273144,1.020598,1.097831,1.76122,2.358668,1.624967,32.765534,0.313442,4.682852,1.08499,44.756554,14.072056,141.547527,-0.290456,131.908787,-0.271362,113.988956,-0.234308,91.887697,-0.192191,86.671618,-0.180226,71.899951,-0.146034,31.846453,23.095238,68.809524,24.52381,51.428571,25.714286,48.333333,28.333333,37.380952,45.714286,26.904762,22.619048,9.047619,0.024536,3.664592,3.22677,1.663652,81.295473,10681.047966,10697.763102,8264.21731,0.888496,0.97339,0.971391,0.935697,-0.013567,-0.100176,4.094345,0.007976,-0.472372,4.094345,2.847923,9.098144,3.286423,-0.989384,0.002023,0.002012,0.673634,-4.612216,-5.146843,-6.012494,7.785843e-06,0.002133,0.014901,-6.472838,0.04517,0.021511,0.094158,0.00219,-0.003223,0.825295,0.0,7.42545,0.440092,0.03728,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
16,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,1059,19,9.990783,3.553329,31.963291,50.233926,31.124994,19.108932,36.469614,59.773827,0.894957,39.411223,48.22661,49.056534,31.124994,5.890928,2.563242,-0.670118,-0.822212,17.439991,3.62291,9.347301,13.76298,5.798134,8.023026,1.83637,1.160737,1.21319,1.469463,3.533194,1.510459,39.411223,1.305268,5.798134,1.305268,39.411223,13.76298,86.078369,-0.295835,86.078369,-0.295835,76.419225,-0.241613,0.0,0.0,59.688843,-0.164917,59.688843,-0.164917,38.669213,30.821918,51.655251,31.96347,50.799087,32.819635,50.228311,43.378995,49.086758,20.833333,18.835616,17.408676,5.707763,0.025448,0.559859,1.930873,1.424019,88.464804,11976.579515,12021.219837,7363.451158,0.810506,0.872185,0.961045,0.897711,-0.014477,-0.334498,4.094345,-0.071152,-0.267714,4.094345,6.572698,2.290071,4.098748,-1.017548,0.005366,0.005329,0.328331,-3.47253,-4.75739,-5.519583,0.005646,0.009665,0.013273,-5.621789,0.013581,0.026081,0.180872,0.003547,-0.008037,0.867458,1.177393,0.838297,0.226764,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
17,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,706,119,9.990783,5.565504,30.847614,57.083543,30.784852,26.298691,37.620218,42.469373,2.718095,41.461752,28.601822,57.083543,31.182906,4.441253,0.889338,-8.306685,-1.484473,11.530516,0.092505,4.851043,10.274534,2.797593,4.512781,1.379373,0.597228,1.312257,0.602412,3.210118,1.075969,30.901667,0.241887,0.387778,3.489894,48.002519,10.277994,96.598398,-0.193303,100.934442,-0.207872,75.91209,-0.128739,70.217476,-0.124343,56.696367,-0.080543,33.926698,-0.012591,35.718801,30.483405,56.818182,31.385281,49.242424,31.926407,45.995671,36.255411,39.502165,26.334776,17.857143,14.069264,3.246753,5.517196,3.874533,3.415857,0.70917,77.128715,14517.605822,11736.364083,7027.820606,0.803139,0.923678,0.886186,0.804249,-0.049984,-0.361469,4.094345,-0.017919,-0.708861,4.094345,3.080186,6.253817,2.473748,0.023923,0.005629,0.005604,0.654638,-0.387778,-1.867362,-3.104521,0.000601,0.011183,0.034878,-2.49096,0.237365,0.396506,0.193498,0.001363,-0.000111,0.843844,0.0,-0.335292,0.517343,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
18,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,588,70,9.990783,6.275302,31.589708,57.950095,28.394483,29.555612,39.026092,38.480679,3.371599,41.757321,29.630123,57.950095,28.394483,4.27928,1.509774,-4.947405,-2.221642,11.624913,0.019334,4.630522,9.34842,2.60481,4.426161,1.170294,0.562461,0.754637,0.674958,3.839261,0.854474,31.23275,0.342247,1.469198,3.926998,52.589333,6.932487,87.855909,-0.124145,109.433964,-0.184327,83.250571,-0.122191,75.147409,-0.114465,59.690697,-0.075699,20.724518,0.046733,35.941525,29.967949,57.852564,30.929487,50.961538,31.25,50.160256,33.012821,40.865385,27.884615,20.032051,18.910256,7.852564,5.981948,5.014842,4.404582,2.487222,79.028592,11949.140655,10176.536048,7677.660987,0.807076,0.939014,0.901386,0.812122,-0.001149,-0.434523,4.094345,-0.019088,-0.794894,4.094345,3.842987,5.856092,3.718685,-0.967632,0.008672,0.008638,0.705622,1.506159,0.846083,-0.588338,0.000573,0.005296,0.037551,-2.02824,0.173113,0.518792,0.15912,0.000994,-0.0005,0.828896,0.0,3.195225,0.572697,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
19,C:\Users\Owner\Desktop\bats\src\test_audio\barn1_D20220723T000059m428-Coto.wav,barn1_D20220723T000059m428-Coto.wav,377,21,9.990783,2.90619,31.787085,46.391083,27.143088,19.247995,33.202076,55.259037,0.243323,35.936948,39.351132,46.391083,27.516928,5.406871,6.178882,-5.78497,2.727878,10.196245,5.338107,8.306701,9.445678,5.671553,6.952187,2.276872,1.077415,0.867613,2.369765,2.383484,1.40503,35.936948,0.705637,5.671553,0.705637,35.936948,9.445678,97.061021,-0.22752,97.061021,-0.22752,93.376565,-0.217005,0.0,0.0,74.17437,-0.167495,74.17437,-0.167495,33.981892,26.610644,48.669468,28.361345,41.666667,29.061625,39.915966,31.162465,36.064426,22.058824,13.305322,10.854342,4.901961,0.024668,1.877519,1.60852,0.802966,78.328464,12790.339483,24162.9985,14586.786055,0.658875,0.858098,0.952955,0.864472,-0.007625,-0.453323,4.094345,0.016107,-1.009989,4.094345,7.35799,6.112261,2.030657,-0.451172,0.014132,0.014014,0.912858,-5.754394,-5.506456,-5.630018,6.499239e-05,0.000234,0.001083,-5.630018,0.001083,0.001689,0.037019,0.001371,-0.01623,0.82799,0.0,4.270157,0.526725,0.0,test_audio,src,4.4.5,5 kHz,medium,0.8,0.5 sec,32
